province,Latitude,Longitude
Yunnan,25.301427,101.459851
Yunnan,25.391311,101.670355
Yunnan,25.30807,101.54073
Yunnan,25.301427,101.459851
Yunnan,25.722147,101.324329
Yunnan,25.723543,101.326791
Yunnan,25.749935,101.333775
Yunnan,25.624249,101.291345
Yunnan,25.853585,101.099892
Yunnan,25.872395,101.240421
Yunnan,25.826017,101.359278
Yunnan,25.843716,101.121499
Yunnan,25.853585,101.099892
Yunnan,26.059337,101.671428
Yunnan,26.058403,101.667944
Yunnan,26.334778,101.561596
Yunnan,26.361565,101.514795
Yunnan,25.695542,101.874232
Yunnan,25.7871,101.8586
Yunnan,25.707372,101.872974
Yunnan,25.706099,101.890464
Yunnan,25.621268,101.897761
Yunnan,25.478535,101.930566
Yunnan,25.53284,102.40431
Yunnan,25.53284,102.40431
Yunnan,25.52349,102.14875
Yunnan,25.532051,102.408767
Yunnan,25.135989,101.794655
Yunnan,25.012161,101.860367
Yunnan,25.150201,102.079017
